,user_mean
omGocLsyIYeiHPviDOAa3w,3.89
63UaVdLeICrUy-mI97LpUA,3.79
lBMCBwbAhfgb5oKqilA7CA,3.84
BsmLSUK_GNBSgAVtIySBpA,3.3
MfZszvOQNY_xdbA9ruz_zQ,3.71
tDD9jKSahgku1MQYJ5E7xw,3.44
DjZPfIYbMPcByx7RXdQ2ZQ,4.4
6hRKotVFPYL7Ci0hipN9Eg,3.74
vt0y5E2LUFeG0_PZ1b3d_Q,3.62
AmCgnISliebEOoJuebWAqA,3.74
Ol-eHpT91IvruP3Gf-6zow,3.6
aXXZEPqHOHzvPHhhxA2BeQ,3.7
YSuXJX9LsyTF55LiP6lRrA,4.8
HUsAVJOGZgsiJA265R7JFA,4.12
e8Ux_b9e3OGceknRqi44WA,3.84
btTx6B1JDp0cAiGtJ21xsQ,3.11
i3eTU1B8pZqsjUZ-wKbuXg,3.5
joIzw_aUiNvBTuGoytrH7g,3.29
Y31fbbttanfrS5oSMvSqkw,3.69
gPcDJI4wU89RMQWTeIs7Hw,4.12
Gu0klsF8p157mTZsnkxskw,3.1
Gu_tCn0lDuYBtd1NB1-Szw,3.65
1J1GL0XY_uBu2kuPfnn9Jw,4.0
Ku_NR6HjGnmx8axWiR4UNA,3.86
idSvgXVCamuEwbL3sp9O_A,3.49
gfoErsyOWfR_rx6v6Xwy4w,3.28
VaLglvhXegtW1OMF6_Xfag,4.07
frm67YsEcoZRU1gIqQQj2A,3.43
onnvR2mrzlhlPaT0fBqsrA,4.5
4HA7OCSUWYHgFBsyQXkYOw,3.38
BeMnMtlAlheThhbDi8WNug,3.29
w0WhcjDpMqYHszl-v3IGyQ,4.62
8KmHPVzyBW45_tXX8zU5mA,3.69
lv-PGeBWhNtyE_VruptHnQ,3.72
eBwBjylS66qPcHs2_ajLag,3.55
duTNSjfU9i1uHXsetPyR3A,3.71
6GJM8bWV3m2cOYPjDjohJA,3.64
OaTEveZBjvcteZN2IIUfCA,4.88
gW3DYv-sOMtVMefnlUJcyA,3.29
