,user_mean
6OWHDbEq23f24Vki_veHBA,3.71
rO0FM4oPK74g9WKtBgDDig,3.79
qlbiTIcn1-hDeHhEF1PLyg,3.37
B_leEp0XWSNi5_HQ_BLAAg,4.14
qgI2cU2DaNHzv_qwwDoqyQ,4.05
iPZL-N7QCGhHcamfkixZWw,4.17
9Ysj3f3tI3m5QRDxvQAIKw,2.99
f1-pIw_p0ifzu03TXjPRiw,3.72
5bs9-7Fwjuv4HiQNFVZTEw,4.13
LdhwY7eudLlx1KFQQe9GwA,3.85
n50JchTjQuWyZ5zDPwLCkw,3.65
MEgDe_OUlcwhSEL7gL86Eg,3.73
-GNcVLtPu1QlJ07cMRe4zw,3.79
OjdKNGWyuNDEJJwNs1TN0A,4.3
zTygpljE4TazYFfJvVAFYQ,3.25
3UDYuIkrdCafFwl8MLxeVw,4.08
9-ERSaoWmopsfHSSc2vUng,3.82
Xm8HXE1JHqscXe5BKf0GFQ,3.4
NduGDKc6hLcb1S6OtW62XQ,4.06
zCxN_nU2o8LHNVzjRrWQbw,3.53
ikzyZTdFumUndn9Ch8aBzg,3.7
bcnAYXA0axwRwxo5wt287Q,2.95
VH1WbmbrUvgvSWQr68QA6g,3.41
dON_lymZAFx3jmq5yVobBg,4.3
sjdQ7sAT6G3ibRRkFKrDlw,3.92
G33H876yNJ1-OHWWcaG2ig,3.75
mbRUG6h0Mgb2XIJvscIoMg,3.69
tRBC8zo48KbWIJn_hEG4mA,3.69
aizo923WsNk6bfMLWxEDYw,4.33
ZHDv3b9ydYpLoG-Ez4HBhA,3.75
1I3KgPkYr3_4QNVdRN3bJw,3.75
ziCKT5n58tcVfgksImx0VQ,3.56
2rlBbFPHyZjXSFSE8r551w,3.43
RaLJ-vfSzHf_-xP_Ji2vAg,4.25
U7fjG9u4iFAg0RaR3j0zNA,3.45
25j8Nr0qQVlLhv2BywxL7g,2.81
muU7S-YE8D3FM5KgxOtFCw,3.83
BfetZm9fa0zqyAFn8vo_6w,3.5
h8WBkAyR6fXKBChqmsXbkg,4.18
ZpPUYNvGR7Tb9HBKBTEnuQ,4.14
NbI8bO5Cn1W8xxhO9MPw9Q,2.67
T-HUEwlRl5d6lun1cZgiCA,4.5
U9jYJ2bC6ILEVh8vNnVwtg,3.82
qbfQRHLvZk5WSkKY0l_lMw,3.87
79MhROSJ1U8KBCupx7imRg,4.09
DjZPfIYbMPcByx7RXdQ2ZQ,4.4
dOlOuHlY43omhi88wa1Mzg,3.75
wsf6MhOr2x7dlJx5lAavOg,4.0
h3WSnBJKQTndnejB4RrHrg,4.67
qis3040X__uozHkiy8eT7g,3.2
WJECcFpHcC1cKXg6DFqb_Q,4.07
HnlVxMJUFt0senwi9mYzuA,3.29
-9mljS0O9mwdOnGv-Oea3Q,2.89
2eVF68QkqhjPBFYI_4ErLA,3.89
BiDA7uVJ5igMCsp4ZfpCpQ,3.58
ODW4e78LfvY5Ch4s1kzzjw,3.41
7cmvtJaZTJhd7yQdwu5scA,3.51
c6sX9OeQS1OnLJsbZ-3T5A,3.43
AJPUucBXwboTp1Xs-s27OA,4.0
xXddQy6m2cLcz9tfQu5fyA,4.1
WrP60_4xzolbZ4J0jteLJA,3.33
di9IJXTJmCa4mO3bZVINDw,3.69
rL3dPeKDTybG_ct9OCXGAA,3.57
3xVwlgww4Pw5wc_twrfOwA,4.2
hRy9-3-MT2_g9EBUU_Is_A,3.72
1Am0pv3HWphO6QVycWHL1Q,3.65
9vxUUOoasnu8gtoXRwAhYw,4.0
hTKFGpi3ltCV4B-XDFRT-A,3.47
ffanvUeGxJ9-GQCf41BW-A,3.9
palND-kF1qpMLhkcgAnSxA,3.74
1gCUuM9Cowu71O2dz72RzQ,4.2
pJUdG8KPNfZOLdVqiWIpAw,3.09
H7OGq5Upv2FwuSORESv6Kg,3.62
--65q1FpAL_UQtVZ2PTGew,4.16
Ls3HDj4RiME1u6n1csFMXg,3.75
qHCEXMPiIuT8gyPCVce5AQ,3.85
X_kPh3nt0AJPNPHye2rTlA,4.47
3Zi1udoY2iT9s8Q3X6tgZQ,3.68
3TGup17SCV6uHsifmTKirg,4.08
S4jPvmZU45O5bDaCzSrfxw,3.95
M2W1nTqC_uhhN2iJI_elMg,4.5
1cuCd3RZWPRSQE8qjUwT3Q,4.0
w7ThL3yMoUtNYnEDdIn33w,3.78
ZK_WcbPcxO7ZgHAbIoqFpw,3.44
g4o-PmTXIUiYsIGc2rE-dA,4.18
zigHnwA0FSGPGUE59lLFzA,4.04
cOTyqUKTyy98XixWcw6apA,4.22
6Q_NHOoun3f0t8xmDv1mog,4.0
sQ5wPNZJ6kN2zosRdovAsg,3.29
kvL7bId7FbaMi19TFl3h9w,4.0
r3_JcUFWGERe8ytAHQPDyQ,3.67
gdNJzMx9duSZCBdiU1QKFg,3.21
GwP7klR69owmP-y1XCuSsg,4.36
XHgeUEDhZeGyMepUB4ANLQ,3.15
e89TP3PA8reTg79S-i9axQ,3.86
gEnU4BqTK-4abqYl_Ljjfg,4.61
53kLNUg5MYCwAdQqtxfF3A,3.0
eY5sepWYYYbAmitp0CJ9Ag,3.95
