,-sC66z4SO3tR7nFCjfQwuQ,FURgKkRFtMK5yKbjYZVVwA,lVkDZZ8sTafPlq7f1i5row,XkNQVTkCEzBrq7OlRHI11Q,wNsmt1hF1uv3YvbwXZMAoQ,DcrM4hwDcU2G6vuh2cnaYQ,1NZLxU5WvB5roPFzneAlLw,EmlgWjs1ZzZEpDjZCSPLmw,w19cemjVR8u02PgjFpJ7Mw,FqzgT9Y-Yu7jiWdHnGW-kQ,cN6aBxe2mQvrQlzk26LyRQ,qjmCVYkwP-HDa35jwYucbQ,Zy2vca7i9QFGRKa4m0C__A,h6jfMpTZpNduLG0wE2tbaw,3n9mSKySEv3G03YjcU-YOQ,3l72FflaaeI0tWEAWN3-gQ,G9LwkTSdKOyOGqd5BbuIkA,ML1RJdeZ7bbfMrHvJ7m99A,KBG28p3lGX17hOPoHhq5PQ,wl51t6lT7leiX64SlkOx6g,r-a-Cn9hxdEnYTtVTB5bMQ,9ziO3NpoNTKHvIKCBFB_fQ,Y-9dJvw-J2d9QKfuL7mKgA,DDnmNTvIIQu2t3WZ2EQx-w,MXOdsPTLQPsQK9hUq01DWg,wZwZcte4lcbu51NOzCjWbQ,VY_tvNUCCXGXQeSvJl757Q,pwpl-rxwNRQdgqFz_-qMPg,zp713qNhx8d9KCJJnrw1xA,_FXql6eVhbM923RdCi94SA,cp39VURFby4A6u9m2It8jg,xs1LHeJy78u-7taSEnQ2Yw,xHI3saK0sAJEHeMK4IGVvg,FUI-hWH_bpis7AKZTWenUQ,SDwYQ6eSu1htn8vHWv128g,yJr24Yy1K6bt2G9fX3_zPA,wNUea3IXZWD63bbOQaOH-g,cLojUtqkFpVIHFEvA_5Atw,7SO_rX1F6rQEl-5s3wZxgQ,K8pM6qQdYu5h6buRE1-_sw,muCl5p-9ut1sY0aKeUeRhw,bzDs0u8I-z231QVdIQWkrA,qlrZzAktK8wODSHxhLEK7w,M6fjHpkL9IRI-nI0BattRw,cVejKU_SrdbvzIbQ4oPV0A,rZbHg4ACfN3iShdsT47WKQ,nMHhuYan8e3cONo3PornJA,iNvY0zAlaD_ye7Z6rHu-Ug,nts2OALwvyvfNh9focRZ3w,VpW40mznMS43CqdbelX2wA,VVeogjZya58oiTxK7qUjAQ,zMa6YoEekpABg1HZnnTZdg,OFBJtqWGSx6n6CchtVmoRw,AaKlegu7gmOCD4rEESF76Q,jtzhY-P4H6WSYpv5rWhxtw,Tt6DYs0TyERWHWW5xiRL_A,c0RSs2KYK5Y-ZlSrNq9LyA,5kRug3bEienrpovtPRVVwg,PwxvN0SnAGPdqXdNEYVT3g,F8q_9PUl-Lwjj9xIRPArcg,XHr5mXFgobOHoxbPJxmYdg,WS1z1OAR0tRl4FsjdTGUFQ,mqQwChPNN4o4DhAzaGntIA,ntN85eu27C04nwyPa8IHtw,3oZcTGb_oDHGwZFiP-7kxQ,vvMR0jgDoBA-g1XgZy8sEg,9BJ5h9X1krpXFjKj0a6wbg,5ambRqdTJt9vGwFzVI9HBw,-h-q6zTIdPlkz9BDP11sBg,MLcXtnpzygZvQ9BtseLLlw,I4bSn5gXsHuSPu7L-d_8nQ,zmFc8M-hS4uuyY0hklIpoQ,hfl62LX14YqNpG0g0Tj6_Q,V1nEpIRmEa1768oj_tuxeQ,R8VwdLyvsp9iybNqRvm94g,oCA2OZcd_Jo_ggVmUx3WVw,KPoTixdjoJxSqRSEApSAGg,Zx8_4zKdDBSO3qGrkukBIA,18TUn9oiW0k0yB6lheiOvw,AkOruz5CrCxUmXe1p_WoRg,wN_wAXWg8W94v04eqijy6g,d52zg-S0o940WUCK-nNiKw,XWvht_1ZLdK7EHJ3jo4q0g,EWMwV5V9BxNs_U6nNVMeqw,rDvz5jX65gpfONFu7er9Tw,soiGohHtWOltGeomkSxzEw,-3WVw1TNQbPBzaKCaQQ1AQ,TuCAYZ89lP_s6D7Y78xNhQ,Xq9tkiHhyN_aBFswFeGLvA,LzpR_jE6VIutJ08s2cdRrw,rQ4z0EStSZE4acgkne6Hmg,TfTlOE6h9E9o34dEkw9L_w,PmPOuRvuN3CoNOi1nBj_TQ,fVgrpVyp-nPLTac9YIjTug,uKSX1n1RoAzGq4bV8GPHVg,IVc23uY-36WUNYoIbz42Fg,yc5AH9H71xJidA_J2mChLA,-AAig9FG0s8gYE4f8GfowQ,yVQiGdxmnrkJDyQXv2maNA,oyzxIqrtzu-8sWlPhJVsLw
Beh_tJFN8oMKQCFySbB3_g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnZLdzxFz4gKbDHpqbVB2A,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,
8AT9WSphWIIC2k8lh__izA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IPVQ9aObQap81orMov_MwA,4,,,,,,5,,,,,,,,,1,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,
FUMFSDwR4RgCW2SSGqSnNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,4,,,,
HbleQ3Hnn7TqAKN4FISv1Q,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,
Lp_Ykqfbv5Q-oyGYlMGJRg,,,,,,,,,3,5,,3,,,5,,,,,,,,,,,,,,,,,4,,,5,5,,,5,5,2,,,,,,,,,,,,5,,,,,5,,,,,,5,,,4,,,,,4,,5,,,4,,,3,,,,2,,3,,,,,,4,,,,5,5,,,
jdeNI5TTTuM6mj3HTgstRA,3,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,3,,4,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,4,,,,5,,,,,,,,4,,,,,,,,,,,,,,,,,4,,,
k4-6lakq7t3kCgbvPxcuvg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,3,,,,,,,,3,
thdVzCfKx-DV0zYWqId3pw,,,,,,,,4,,4,,,,,5,4,,4,,5,3,,1,,3,,,,,,5,,5,,,,,,,,,4,,,,,4,,,,5,,4,,,,,,,,,,,4,4,4,,,3,,,,,,,,,5,,,,,5,4,,,,,,,,,,,,,,,,
q5nFaw9isjD_01PpVAR7hg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,
dts_CTc9xACfjse8OJNQUQ,,,,,2,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c_cY6fb5nbQbZVhVdSNv7Q,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
ZrgoyNBElvOn_2GRZOL0SA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
0L9-VdIXhFXLtyycZxbzcQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,
LcWp2WChE9HpqdMEM8D2VQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,4,,,,,,,
CjL3FtpiDzhNXTQPw0-RBw,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
